,title,company,location,summary
37,Croissantier/ Croissantière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1069 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
38,Agent(e) de fabrication en prod/transformation du verre,ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C,Sousse,Référence : 5150/2023/775 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C   Adresse :   16 RUE EL JAHEDH-PRES MAISON D…
39,Préparateur / Préparatrice en pharmacie,PHARMACIE HABIB BELLAKHAL,"Ras Jebel, Bizerte",Référence : 2340/2023/321 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   PHARMACIE HABIB BELLAKHAL   Adresse :   RUE D'ALGERIE   Région :   BIZERTE   Code pos…
40,Titre du poste : Assistant(e) administratif(ve),NewGen technologies,Sfax,Description du poste :   NewGen Technologies est une entreprise de conseil en informatique spécialisée dans la transformation et l'optimisation des processus mé…
41,Statisticien(ne),Lekocom,"Hammamet, Nabeul",Habitant de préférence sur le Cap Bon ou proche d'Hammamet   DISPONIBILITE IMMEDIATE   Profil recherché H/F   * Titulaire d'une formation Bac+3   * F…
42,STAGE / CDI Customer Success Officer,Med Start Now,Tunis,Stage/CDI Customer Success Officer     Prestataire de service pour une startup française.      La société est une Insurtech  qui veut libérer l&rsq…
43,Formatrice en informatique,CENTRE CPN,Sousse,Centre de formation privé CPN Cherche à recruter : une jeune fille pour la poste de conseiller ou formatrice en informatique ou informatique multimédia   …
44,Ingénieur Infrastructure - Tunis,NeoXam,Tunis,"CONTEXTE  L'Ingénieur Infrastructure (IE) déploie et administre les ressources nécessaires à la production attendue dans son domaine (systèmes et réseaux, sécurité, stockage, back-…"
45,Concepteur / Conceptrice de produits industriels mécaniques,STE NAUTILUS ARCHITECTE,"La Marsa, Tunis",Référence : 1140/2023/1790 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…
46,Technicien / Technicienne de maintenance en équipements industriels,STE WECO CONTACT TUNISIE SARL,"Béni Khalled, Nabeul",Référence : 2120/2023/828 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE WECO CONTACT TUNISIE SARL   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   …
47,Assistant commercial / Assistante commerciale,ESPACE MASSAR,"Akouda, Sousse",Référence : 5130/2023/1485 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   ESPACE MASSAR   Adresse :   DIMASS AKOUDA   Région :   SOUSSE   Code postal : 4022  …
48,Caissier / Caissière,HOTEL HASDRUBAL THALASSA,"Hammam Sousse, Sousse",Référence : 5130/2023/1481 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   HOTEL HASDRUBAL THALASSA   Adresse :   PORT EL KANTAOUI HAMMAM SOUSSE   Région :   S…
49,Dessinateur / Dessinatrice en architecture navale,STE NAUTILUS ARCHITECTE,"La Marsa, Tunis",Référence : 1140/2023/1791 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…
